bird,abundance,img,ebird,wikipedia,allaboutbirds,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall
Snow Goose,RRX--XU,https://upload.wikimedia.org/wikipedia/commons/1/1f/Snow_goose_in_Central_Park_%2833138%29.jpg,https://ebird.org/species/snogoo,https://en.wikipedia.org/wiki/Snow_goose,https://www.allaboutbirds.org/guide/Snow_Goose/overview,,,5 - rare,5 - rare,6 - extremely rare,,,6 - extremely rare,4 - uncommon
Ross's Goose,RR----R,https://upload.wikimedia.org/wikipedia/commons/4/4b/Ross%27s_Goose_%28Chen_rossii%29_%2823321411711%29.jpg,https://ebird.org/species/rosgoo/,https://en.wikipedia.org/wiki/Ross%27s_goose,https://www.allaboutbirds.org/guide/Rosss_Goose/overview,,,5 - rare,5 - rare,,,,,5 - rare
Greater White-fronted Goose,RR----U,https://upload.wikimedia.org/wikipedia/commons/4/4f/Anser_albifrons_30050.JPG,https://ebird.org/species/gwfgoo,https://en.wikipedia.org/wiki/Greater_white-fronted_goose,https://www.allaboutbirds.org/guide/Greater_White-fronted_Goose/overview,,,5 - rare,5 - rare,,,,,4 - uncommon
Cackling Goose,UU---RU,https://upload.wikimedia.org/wikipedia/commons/b/b4/AleutianCanadaGoose2.jpg,https://ebird.org/species/cacgoo1,https://en.wikipedia.org/wiki/Cackling_goose,https://www.allaboutbirds.org/guide/Cackling_Goose/overview,,,4 - uncommon,4 - uncommon,,,,5 - rare,4 - uncommon
Canada Goose,AAACCAA,https://upload.wikimedia.org/wikipedia/commons/4/40/Canada_goose_on_Seedskadee_NWR_%2827826185489%29.jpg,https://ebird.org/species/cangoo/,https://en.wikipedia.org/wiki/Canada_goose,https://www.allaboutbirds.org/guide/Canada_Goose/overview,,,1 - abundant,1 - abundant,1 - abundant,2 - common,2 - common,1 - abundant,1 - abundant
Trumpeter Swan,XX----X,https://upload.wikimedia.org/wikipedia/commons/d/d8/Trumpeter_swans_in_winter.jpg,https://ebird.org/species/truswa,https://en.wikipedia.org/wiki/Trumpeter_swan,https://www.allaboutbirds.org/guide/Trumpeter_Swan/overview,,,6 - extremely rare,6 - extremely rare,,,,,6 - extremely rare
Tundra Swan,XX----R,https://upload.wikimedia.org/wikipedia/commons/4/4a/Cygnus_bewickii_01.jpg,https://ebird.org/species/tunswa,https://en.wikipedia.org/wiki/Tundra_swan,https://www.allaboutbirds.org/guide/Tundra_Swan,,,6 - extremely rare,6 - extremely rare,,,,,5 - rare
Wood Duck,RFFFFFF,https://upload.wikimedia.org/wikipedia/commons/d/d3/Wood_Duck_%28Aix_sponsa%29%2C_Parc_du_Rouge-Clo%C3%AEtre%2C_Brussels.jpg,https://ebird.org/species/wooduc,https://en.wikipedia.org/wiki/Wood_duck,https://www.allaboutbirds.org/guide/wood_duck,,,5 - rare,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common
Blue-winged Teal,-FCUUCF,https://upload.wikimedia.org/wikipedia/commons/6/65/Blue-Winged_Teal.jpg,https://ebird.org/species/buwtea,https://en.wikipedia.org/wiki/Blue-winged_teal,https://www.allaboutbirds.org/guide/Blue-winged_Teal/overview,,,,3 - fairly common,2 - common,4 - uncommon,4 - uncommon,2 - common,3 - fairly common
Northern Shoveler,RFUXXUU,https://upload.wikimedia.org/wikipedia/commons/a/a7/Northern_shoveler_Steve_Sinclair_outreach_use_only_%2819838806616%29.jpg,https://ebird.org/species/norsho,https://en.wikipedia.org/wiki/Northern_shoveler,https://www.allaboutbirds.org/guide/Northern_Shoveler,,,5 - rare,3 - fairly common,4 - uncommon,6 - extremely rare,6 - extremely rare,4 - uncommon,4 - uncommon
Gadwall,RFR-XRF,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gadwall-Anas-strepera.jpg,https://ebird.org/species/gadwal,https://en.wikipedia.org/wiki/Gadwall,https://www.allaboutbirds.org/guide/gadwall,,,5 - rare,3 - fairly common,5 - rare,,6 - extremely rare,5 - rare,3 - fairly common
American Wigeon,XFR--RF,https://upload.wikimedia.org/wikipedia/commons/b/b5/Anas_americana_-_drake.jpg,https://ebird.org/species/amewig,https://en.wikipedia.org/wiki/American_wigeon,https://www.allaboutbirds.org/guide/American_Wigeon/overview,,,6 - extremely rare,3 - fairly common,5 - rare,,,5 - rare,3 - fairly common
Mallard,CAACCAA,https://upload.wikimedia.org/wikipedia/commons/b/bf/Anas_platyrhynchos_male_female_quadrat.jpg,https://ebird.org/species/mallar3,https://en.wikipedia.org/wiki/Mallard,https://www.allaboutbirds.org/guide/Mallard/overview,,,2 - common,1 - abundant,1 - abundant,2 - common,2 - common,1 - abundant,1 - abundant
American Black Duck,FFR-XXU,https://upload.wikimedia.org/wikipedia/commons/e/ea/Anas_Rubripes_and_Anas_Platyrhynchos_August_2008.JPG,https://ebird.org/species/ambduc/,https://en.wikipedia.org/wiki/American_black_duck,https://www.allaboutbirds.org/guide/American_Black_Duck/overview,,,3 - fairly common,3 - fairly common,5 - rare,,6 - extremely rare,6 - extremely rare,4 - uncommon
Northern Pintail,UUX--RU,https://upload.wikimedia.org/wikipedia/commons/0/0b/Northern_Pintails_%28Male_%26_Female%29_I_IMG_0911.jpg,https://ebird.org/species/norpin,https://en.wikipedia.org/wiki/Northern_pintail,https://www.allaboutbirds.org/guide/Northern_Pintail/overview,,,4 - uncommon,4 - uncommon,6 - extremely rare,,,5 - rare,4 - uncommon
Green-winged Teal,RFRXXFC,https://upload.wikimedia.org/wikipedia/commons/0/07/Green-winged_Teal%2C_Port_Aransas%2C_Texas.jpg,https://ebird.org/species/gnwtea,https://en.wikipedia.org/wiki/Green-winged_teal,https://www.allaboutbirds.org/guide/Green-winged_Teal/overview,,,5 - rare,3 - fairly common,5 - rare,6 - extremely rare,6 - extremely rare,3 - fairly common,2 - common
Canvasback,RU----U,https://upload.wikimedia.org/wikipedia/commons/e/e1/Aythya_valisineria_at_Las_Gallinas_Wildlife_Ponds.jpg,https://ebird.org/species/canvas,https://en.wikipedia.org/wiki/Canvasback,https://www.allaboutbirds.org/guide/Canvasback/overview,,,5 - rare,4 - uncommon,,,,,4 - uncommon
Redhead,RUR---U,https://upload.wikimedia.org/wikipedia/commons/0/0b/Redhead_duck_%28Aythya_americana%2C_male%29.jpg,https://ebird.org/species/redhea,https://en.wikipedia.org/wiki/Redhead_(bird),https://www.allaboutbirds.org/guide/Redhead/overview,,,5 - rare,4 - uncommon,5 - rare,,,,4 - uncommon
Ring-necked Duck,RCF---F,https://upload.wikimedia.org/wikipedia/commons/9/9a/Aythya-collaris-001.jpg,https://ebird.org/species/rinduc,https://en.wikipedia.org/wiki/Ring-necked_duck,https://www.allaboutbirds.org/guide/Ring-necked_Duck/overview,,,5 - rare,2 - common,3 - fairly common,,,,3 - fairly common
Greater Scaup,XRX---X,https://upload.wikimedia.org/wikipedia/commons/f/fb/Greater-scaup-male2.jpg,https://ebird.org/species/gresca,https://en.wikipedia.org/wiki/Greater_scaup,https://www.allaboutbirds.org/guide/Greater_Scaup/overview,,,6 - extremely rare,5 - rare,6 - extremely rare,,,,6 - extremely rare
Lesser Scaup,RCU---F,https://upload.wikimedia.org/wikipedia/commons/b/b1/Lesser_scaup_-_Aythya_affinis.jpg,https://ebird.org/species/lessca,https://en.wikipedia.org/wiki/Lesser_scaup,https://www.allaboutbirds.org/guide/Lesser_Scaup/overview,,,5 - rare,2 - common,4 - uncommon,,,,3 - fairly common
Surf Scoter,-XX---X,https://upload.wikimedia.org/wikipedia/commons/1/10/Melanitta_perspicillata.jpg,https://ebird.org/species/sursco,https://en.wikipedia.org/wiki/Surf_scoter,https://www.allaboutbirds.org/guide/Surf_Scoter/overview,,,,6 - extremely rare,6 - extremely rare,,,,6 - extremely rare
